,0
0,2.371
1,1.875
2,2.038
3,1.298
4,1.576
5,2.218
6,1.971
7,0.797
8,0.283
9,1.275
10,1.143
11,5.00001
12,1.964
13,3.688
14,0.754
15,1.91
16,1.976
17,1.632
18,2.752
19,1.742
20,1.92
21,0.987
22,2.474
23,2.344
24,0.932
25,1.434
26,1.16
27,2.154
28,5.00001
29,2.56
30,1.423
31,1.443
32,2.38
33,1.875
34,1.676
35,1.821
36,0.7
37,0.634
38,5.00001
39,4.277
40,3.989
41,3.25
42,2.189
43,1.354
44,1.563
45,1.113
46,5.00001
47,2.289
48,2.345
49,1.435
50,3.404
51,3.622
52,2.471
53,1.703
54,1.683
55,5.00001
56,2.736
57,1.406
58,2.413
59,0.933
60,1.219
61,1.418
62,2.05
63,1.583
64,2.894
65,0.653
66,3.018
67,2.818
68,1.125
69,1.632
70,1.674
71,3.487
72,1.098
73,1.156
74,0.534
75,0.584
76,2.478
77,2.616
78,1.469
79,1.893
80,0.912
81,0.741
82,1.137
83,1.897
84,1.485
85,2.464
86,5.00001
87,1.813
88,1.542
89,1.503
90,2.809
91,0.869
92,2.539
93,1.818
94,1.475
95,0.554
96,1.643
97,0.781
98,0.898
99,2.183
100,1.17
101,0.936
102,2.308
103,0.623
104,2.816
105,1.54
106,0.925
107,0.575
108,2.534
109,2.445
110,0.713
111,2.072
112,0.577
113,1.07
114,0.952
115,3.687
116,1.317
117,2.325
118,2.712
119,3.5
120,1.875
121,1.577
122,1.703
123,2.264
124,3.211
125,2.107
126,2.281
127,3.72
128,5.00001
129,3.75
130,1.898
131,1.672
132,2.75
133,0.76
134,0.644
135,4.115
136,2.674
137,3.257
138,1.375
139,1.617
140,2.708
141,1.911
142,1.117
143,1.634
144,2.75
145,2.723
146,1.188
147,1.599
148,1.86
149,1.08
150,3.025
151,0.659
152,1.25
153,1.076
154,3.642
155,1.964
156,1.106
157,1.264
158,4.769
159,1.641
160,2.841
161,0.698
162,5.00001
163,1.188
164,2.249
165,0.729
166,5.00001
167,1.848
168,2.07
169,0.881
170,1.721
171,1.688
172,1.628
173,1.88
174,4.165
175,4.5
176,1.601
177,0.409
178,0.845
179,1.133
180,1.347
181,3.599
182,2.312
183,1.025
184,2.549
185,1.688
186,2.147
187,5.00001
188,0.825
189,1.958
190,2.012
191,1.241
192,1.718
193,2.417
194,2.451
195,1.588
196,3.786
197,1.364
198,1.362
199,1.468
200,1.244
201,1.393
202,1.566
203,2.792
204,1.425
205,0.556
206,3.944
207,1.328
208,1.744
209,2.192
210,2.673
211,1.031
212,2.986
213,1.32
214,2.491
215,0.844
216,1.445
217,0.516
218,1.078
219,2.809
220,1.225
221,1.555
222,1.283
223,2.037
224,3.077
225,5.00001
226,1.615
227,1.546
228,1.418
229,5.00001
230,4.0
231,2.513
232,2.0
233,1.252
234,1.668
235,2.079
236,2.28
237,1.469
238,0.92
239,2.175
240,4.417
241,2.754
242,1.655
243,0.872
244,5.00001
245,4.0
246,0.861
247,1.656
248,1.514
249,1.953
250,0.888
251,1.576
252,2.09
253,0.652
254,1.979
255,1.239
256,1.543
257,2.584
258,3.825
259,1.388
260,1.548
261,2.35
262,1.563
263,1.038
264,0.744
265,2.42
266,5.00001
267,2.875
268,2.27
269,0.797
270,1.696
271,1.542
272,1.342
273,1.125
274,1.656
275,2.282
276,1.098
277,1.512
278,2.332
279,0.69
280,1.839
281,2.349
282,1.582
283,5.00001
284,1.728
285,5.00001
286,1.415
287,2.618
288,5.00001
289,2.041
290,1.771
291,1.583
292,2.079
293,2.271
294,1.269
295,0.958
296,2.431
297,2.417
298,1.488
299,2.667
300,3.034
301,1.415
302,1.355
303,3.073
304,2.434
305,4.688
306,2.128
307,1.269
308,0.616
309,0.523
310,2.315
311,3.344
312,1.843
313,2.614
314,1.079
315,2.211
316,1.465
317,1.776
318,1.208
319,0.685
320,3.561
321,0.989
322,0.721
323,2.131
324,1.784
325,2.231
326,5.00001
327,0.741
328,1.188
329,3.75
330,1.046
331,0.737
332,5.00001
333,0.878
334,1.237
335,2.765
336,2.518
337,2.674
338,1.373
339,1.313
340,1.948
341,1.511
342,2.0
343,0.622
344,5.0
345,1.438
346,3.844
347,1.625
348,3.119
349,1.525
350,1.692
351,3.469
352,1.375
353,0.92
354,1.72
355,2.313
356,0.813
357,1.224
358,2.594
359,1.232
360,2.448
361,2.833
362,2.113
363,1.574
364,2.53
365,1.253
366,3.885
367,0.875
368,1.785
369,0.869
370,1.797
371,1.982
372,3.962
373,2.371
374,1.605
375,1.183
376,2.5
377,1.428
378,4.306
379,1.833
380,1.904
381,1.568
382,4.531
383,4.144
384,4.048
385,3.208
386,1.655
387,1.779
388,1.995
389,3.364
390,1.747
391,1.375
392,2.0
393,1.934
394,2.228
395,1.413
396,1.342
397,2.691
398,1.468
399,1.625
400,5.00001
401,1.0
402,2.373
403,2.023
404,1.898
405,1.535
406,3.039
407,1.414
408,1.063
409,2.183
410,2.017
411,5.00001
412,2.405
413,1.549
414,0.623
415,1.813
416,2.877
417,2.08
418,1.748
419,2.262
420,1.25
421,1.307
422,1.298
423,3.558
424,5.00001
425,1.668
426,4.345
427,2.25
428,0.98
429,0.926
430,0.929
431,0.844
432,2.973
433,1.202
434,2.444
435,2.081
436,3.152
437,3.447
438,2.0
439,3.333
440,1.908
441,2.56
442,1.25
443,0.629
444,2.85
445,1.5
446,2.265
447,2.509
448,1.301
449,1.633
450,2.455
451,3.64
452,1.625
453,4.272
454,1.707
455,2.259
456,2.586
457,2.05
458,1.626
459,1.115
460,0.604
461,1.829
462,2.735
463,1.708
464,2.13
465,1.232
466,1.897
467,2.491
468,1.232
469,2.909
470,4.414
471,1.945
472,2.824
473,3.502
474,1.908
475,3.458
476,0.712
477,1.5
478,2.0
479,1.458
480,1.434
481,1.292
482,1.574
483,5.00001
484,2.698
485,1.707
486,1.107
487,1.508
488,1.844
489,3.285
490,1.71
491,1.212
492,5.00001
493,0.908
494,1.125
495,5.00001
496,0.605
497,1.25
498,2.976
499,1.25
500,1.198
501,1.293
502,0.471
503,2.979
504,0.981
505,1.668
506,1.294
507,2.357
508,1.455
509,1.538
510,1.621
511,1.748
512,3.772
513,1.465
514,0.673
515,1.496
516,0.869
517,1.599
518,2.524
519,5.00001
520,1.922
521,5.00001
522,3.205
523,2.045
524,1.316
525,5.00001
526,3.552
527,1.702
528,0.656
529,1.639
530,1.475
531,0.629
532,3.403
533,1.364
534,1.569
535,5.00001
536,1.625
537,1.2
538,0.981
539,4.507
540,1.952
541,1.563
542,1.0
543,3.875
544,3.35
545,3.246
546,0.425
547,0.956
548,5.00001
549,1.605
550,0.621
551,1.112
552,0.982
553,1.372
554,1.375
555,1.813
556,1.443
557,2.698
558,1.714
559,0.867
560,2.514
561,4.75
562,1.122
563,0.847
564,4.261
565,1.391
566,1.894
567,1.977
568,2.083
569,0.768
570,1.815
571,2.073
572,2.081
573,4.656
574,1.885
575,4.345
576,0.962
577,1.135
578,0.55
579,1.87
580,0.701
581,2.444
582,2.219
583,1.655
584,0.711
585,3.669
586,0.631
587,1.414
588,0.65
589,1.14
590,0.835
591,2.726
592,1.543
593,2.887
594,5.00001
595,1.875
596,5.00001
597,2.813
598,1.03
599,2.615
600,0.951
601,1.266
602,3.14
603,1.908
604,2.329
605,1.608
606,1.268
607,2.192
608,1.264
609,1.298
610,1.946
611,1.464
612,1.679
613,1.663
614,1.056
615,0.917
616,2.192
617,1.294
618,2.147
619,1.143
620,5.00001
621,1.633
622,3.194
623,1.45
624,0.831
625,2.261
626,4.521
627,1.097
628,0.656
629,2.091
630,3.218
631,0.891
632,2.706
633,1.696
634,1.418
635,3.359
636,3.376
637,1.494
638,2.415
639,1.046
640,2.419
641,5.00001
642,0.832
643,1.732
644,3.1
645,0.713
646,1.292
647,1.797
648,1.185
649,2.188
650,2.853
651,1.454
652,3.951
653,1.0
654,2.462
655,2.536
656,5.00001
657,0.88
658,0.526
659,1.333
660,2.957
661,5.00001
662,3.937
663,2.958
664,3.099
665,1.224
666,0.571
667,2.813
668,1.6
669,0.966
670,3.229
671,2.075
672,2.655
673,1.753
674,1.355
675,5.00001
676,4.44
677,3.289
678,1.713
679,1.441
680,1.125
681,2.574
682,2.071
683,1.981
684,0.695
685,1.075
686,3.521
687,1.612
688,2.56
689,2.25
690,0.862
691,0.784
692,5.00001
693,2.439
694,0.552
695,2.134
696,1.503
697,2.097
698,1.714
699,2.313
700,2.289
701,5.00001
702,1.403
703,1.546
704,1.75
705,2.833
706,2.75
707,1.299
708,1.185
709,1.472
710,1.538
711,2.657
712,1.3
713,2.17
714,1.884
715,1.703
716,1.222
717,3.75
718,5.00001
719,2.087
720,1.853
721,0.902
722,1.811
723,0.638
724,2.015
725,0.7
726,1.15
727,0.752
728,2.254
729,1.869
730,0.922
731,0.901
732,1.651
733,3.43
734,3.782
735,2.169
736,1.875
737,2.19
738,0.747
