,0
0,2.361
1,1.625
2,0.862
3,0.894
4,1.952
5,2.247
6,0.592
7,1.392
8,2.432
9,1.62
10,0.875
11,2.935
12,1.385
13,0.807
14,1.06
15,0.721
16,3.021
17,0.945
18,0.936
19,1.368
20,2.205
21,0.592
22,1.664
23,3.293
24,1.508
25,2.477
26,1.629
27,2.61
28,2.481
29,1.444
30,2.625
31,0.846
32,1.03
33,1.407
34,3.185
35,4.327
36,1.376
37,0.624
38,2.588
39,0.792
40,3.606
41,1.958
42,0.779
43,0.696
44,1.781
45,0.813
46,2.051
47,2.128
48,1.035
49,1.227
50,3.905
51,2.715
52,4.21
53,2.313
54,2.542
55,5.00001
56,1.58
57,1.767
58,1.715
59,1.491
60,2.644
61,1.135
62,1.907
63,1.125
64,3.647
65,3.5
66,1.957
67,1.922
68,1.731
69,2.086
70,1.188
71,1.979
72,0.61
73,3.294
74,1.344
75,2.25
76,1.091
77,3.378
78,1.625
79,0.636
80,2.621
81,1.375
82,2.69
83,3.205
84,2.454
85,3.008
86,1.904
87,0.723
88,2.353
89,5.00001
90,0.944
91,3.527
92,2.51
93,3.615
94,2.841
95,1.233
96,2.212
97,1.013
98,1.676
99,1.19
100,1.657
101,1.961
102,2.523
103,1.571
104,2.37
105,5.00001
106,1.353
107,1.733
108,1.641
109,1.523
110,1.688
111,1.948
112,0.816
113,2.653
114,1.961
115,5.00001
116,1.805
117,1.469
118,1.875
119,4.846
120,5.00001
121,2.25
122,0.675
123,1.412
124,0.688
125,0.879
126,3.553
127,2.213
128,1.65
129,5.00001
130,0.595
131,1.671
132,2.362
133,3.619
134,2.017
135,1.976
136,2.312
137,0.62
138,0.986
139,3.783
140,1.833
141,2.385
142,5.00001
143,2.479
144,1.13
145,0.85
146,1.93
147,1.783
148,2.25
149,1.868
150,2.31
151,0.604
152,1.429
153,5.00001
154,1.688
155,2.476
156,2.994
157,0.961
158,3.185
159,1.636
160,1.12
161,3.727
162,2.21
163,0.96
164,3.663
165,2.887
166,1.504
167,1.963
168,1.952
169,2.678
170,1.27
171,4.051
172,2.772
173,1.535
174,1.375
175,1.565
176,1.75
177,2.737
