,0
0,34.9
1,21.2
2,19.3
3,23.5
4,15.2
5,11.7
6,15.2
7,22.0
8,29.8
9,39.8
10,25.2
11,28.4
12,22.9
13,50.0
14,20.1
15,14.3
16,36.5
17,25.0
18,16.2
19,19.5
20,25.0
21,15.2
22,17.7
23,18.5
24,22.3
25,17.8
26,20.3
27,34.9
28,20.6
29,6.3
30,23.3
31,16.4
32,19.1
33,19.1
34,18.0
35,21.2
36,24.5
37,19.2
38,21.6
39,19.6
40,33.1
41,20.1
42,31.5
43,50.0
44,20.7
45,50.0
46,44.8
47,50.0
48,28.6
49,24.3
50,8.5
51,20.6
52,33.2
53,36.0
54,8.8
55,29.1
56,19.5
57,19.3
58,37.2
59,22.0
60,20.8
61,24.7
62,16.7
63,35.2
64,24.6
65,27.5
66,19.3
67,27.1
68,19.4
69,9.7
70,19.9
71,10.4
72,13.1
73,21.9
74,15.3
75,32.7
76,19.9
77,5.0
78,21.7
79,17.2
80,19.0
81,27.5
82,24.4
83,18.3
84,20.0
85,14.2
86,22.2
87,23.8
88,14.6
89,22.6
90,20.2
91,15.6
92,50.0
93,41.7
94,20.6
95,10.5
96,50.0
97,32.5
98,21.2
99,20.3
100,24.4
101,28.7
102,22.6
103,19.7
104,21.4
105,21.4
106,29.0
107,12.5
108,14.5
109,19.2
110,24.7
111,23.3
112,12.8
113,29.4
114,50.0
115,32.9
116,22.0
117,12.0
118,18.8
119,28.0
120,44.0
121,14.1
122,28.4
123,7.0
124,23.2
125,21.5
126,22.4
