,0
0,35.4
1,15.7
2,18.9
3,30.3
4,14.4
5,20.0
6,13.2
7,17.0
8,22.9
9,37.6
10,22.8
11,19.4
12,36.1
13,34.6
14,25.0
15,50.0
16,24.1
17,50.0
18,28.7
19,17.1
20,11.7
21,23.3
22,19.8
23,13.8
24,31.7
25,17.5
26,50.0
27,16.6
28,18.6
29,23.2
30,25.0
31,38.7
32,28.1
33,20.4
34,9.5
35,13.0
36,26.4
37,16.1
38,27.0
39,15.1
40,21.7
41,43.8
42,17.8
43,21.9
44,24.0
45,43.5
46,28.5
47,25.0
48,19.0
49,7.2
50,31.2
51,18.5
52,13.8
53,14.1
54,25.0
55,48.5
56,12.7
57,14.4
58,24.3
59,26.6
60,20.0
61,20.9
62,22.6
63,23.1
64,13.1
65,16.3
66,23.6
67,29.6
68,15.4
69,33.1
70,8.8
71,17.1
72,33.2
73,17.4
74,23.9
75,24.1
76,15.6
77,7.0
78,25.0
79,20.4
80,19.7
81,48.8
82,24.6
83,20.5
84,20.6
85,36.2
86,16.5
87,21.7
88,8.5
89,10.9
90,21.0
91,7.4
92,20.0
93,16.7
94,23.1
95,20.8
96,17.4
97,17.2
98,18.1
99,17.5
100,21.0
101,14.5
102,12.6
103,23.0
104,21.8
105,33.4
106,18.9
107,30.1
108,21.7
109,13.9
110,25.0
111,13.4
112,19.3
113,21.7
114,19.3
115,24.4
116,21.4
117,20.2
118,18.2
119,21.4
120,13.4
121,10.2
122,20.0
123,11.5
124,13.5
125,13.6
126,33.4
127,17.8
128,22.0
129,5.0
130,25.1
131,24.1
132,18.6
133,43.1
134,22.6
135,7.2
136,33.3
137,29.0
138,24.2
139,22.8
140,7.2
141,20.5
142,27.5
143,18.7
144,31.1
145,36.2
146,15.6
147,23.1
148,19.8
149,16.5
150,22.0
151,13.1
152,37.3
153,26.5
154,13.1
155,20.1
156,26.7
157,21.1
158,17.6
159,21.0
160,31.0
161,10.2
162,13.5
163,11.9
164,19.5
165,21.2
166,23.7
167,21.1
168,31.5
169,50.0
170,22.0
171,13.6
172,26.2
173,50.0
174,23.7
175,18.7
176,22.5
177,20.8
178,23.1
179,18.4
180,18.2
181,18.5
182,23.6
183,14.9
184,13.4
185,30.1
186,17.1
187,17.5
188,22.9
189,24.5
190,24.8
191,23.4
192,36.4
193,21.7
194,24.7
195,20.4
196,11.0
197,7.5
198,18.8
199,19.1
200,50.0
201,23.1
202,33.0
203,29.9
204,14.1
205,32.0
206,18.4
207,30.5
208,20.1
209,15.4
210,13.3
211,23.8
212,27.1
213,18.4
214,23.0
215,12.7
216,20.3
217,17.9
218,22.2
219,24.8
220,24.4
221,19.4
222,10.4
223,21.2
224,20.6
225,35.1
226,17.4
227,14.3
228,22.2
229,22.6
230,9.6
231,50.0
232,10.9
233,22.2
234,13.8
235,48.3
236,19.4
237,28.7
238,23.9
239,18.7
240,14.5
241,19.6
242,16.1
243,34.9
244,21.5
245,46.7
246,19.6
247,15.0
248,31.6
249,27.5
250,8.4
251,11.3
252,11.8
253,24.0
254,23.0
255,16.1
256,12.7
257,18.9
258,29.1
259,42.8
260,20.1
261,20.9
262,45.4
263,23.3
264,10.2
265,25.3
266,11.9
267,22.8
268,14.9
269,19.4
270,16.6
271,18.5
272,19.5
273,22.9
274,21.6
275,23.9
276,10.8
277,23.1
278,42.3
279,22.5
280,41.3
281,24.5
282,31.6
283,17.8
284,8.3
285,28.2
286,26.4
287,23.8
288,32.4
289,23.9
290,12.1
291,16.0
292,22.4
293,18.3
294,11.8
295,46.0
296,16.8
297,30.1
298,32.0
299,22.3
300,17.3
301,21.7
302,18.2
303,30.8
304,14.8
305,19.4
306,22.7
307,50.0
308,15.6
309,13.9
310,21.8
311,19.9
312,17.8
313,27.9
314,13.3
315,22.2
316,21.9
317,23.0
318,16.2
319,13.8
320,24.8
321,13.4
322,22.1
323,5.6
324,20.6
325,17.2
326,19.9
327,26.6
328,20.7
329,24.3
330,22.7
331,20.3
332,8.4
333,22.5
334,29.6
335,23.1
336,34.7
337,50.0
338,14.9
339,22.8
340,18.9
341,22.0
342,19.6
343,15.0
344,14.0
345,13.3
346,23.2
347,19.6
348,13.8
349,10.5
350,8.1
351,37.9
352,14.6
353,12.3
354,23.7
355,35.4
356,20.4
357,15.0
358,32.2
359,19.8
360,23.8
361,8.7
362,23.2
363,33.8
364,27.9
365,37.0
366,23.9
367,30.7
368,23.4
369,20.5
370,15.6
371,21.4
372,19.1
373,26.6
374,16.8
375,23.7
376,8.3
377,24.8
378,29.8
